hoopr,kenpom
Abil Christian,Abilene Christian
Abilene Chrstn,Abilene Christian
AR-Pine Bluff,Arkansas Pine Bluff
Ark-Pine Bluff,Arkansas Pine Bluff
Bakersfield,Cal St. Bakersfield
Bethune,Bethune Cookman
Bethune-Cookman,Bethune Cookman
Boston U,Boston University
Boston Univ,Boston University
C Arkansas,Central Arkansas
C Connecticut,Central Connecticut
C Michigan,Central Michigan
C. Carolina,Coastal Carolina
CA Baptist,Cal Baptist
Cent Arkansas,Central Arkansas
Cent Conn St.,Central Connecticut
Cent Michigan,Central Michigan
Charleston,Charleston Southern
Charleston So,Charleston Southern
Coast Car,Coastal Carolina
CSU Bakersfield,Cal St. Bakersfield
CSU Fullerton,Cal St. Fullerton
CSU Northridge,Cal St. Northridge
E Illinois,Eastern Illinois
E Kentucky,Eastern Kentucky
E Michigan,Eastern Michigan
E Washington,Eastern Washington
ETSU,East Tennessee St.
Fair Dickinson,Fairleigh Dickinson
Fair. Dickinson,Fairleigh Dickinson
FAMU,Florida A&M
FAU,Florida Atlantic
FGCU,Florida Gulf Coast
Florida Int'l,FIU
Fullerton,Cal St. Fullerton
G Washington,George Washington
GA Southern,Georgia Southern
Gardner-Webb,Gardner Webb
Georgia So,Georgia Southern
Grambling,Grambling St.
Hawai'i,Hawaii
Hou Christian,Houston Baptist
J'Ville St.,Jacksonville St.
Kansas City,UMKC
LMU,Loyola Marymount
Long Island,LIU
Loyola (MD),Loyola MD
Loyola Marymnt,Loyola Marymount
McNeese,McNeese St.
MD-Eastern,Maryland Eastern Shore
Miami,Miami FL
Miami (OH),Miami OH
Middle Tenn,Middle Tennessee
Miss Valley St.,Mississippi Valley St.
Mount St Mary,Mount St. Mary's
Mt. St. Mary's,Mount St. Mary's
MTSU,Middle Tennessee
N Arizona,Northern Arizona
N Colorado,Northern Colorado
N Dakota St.,North Dakota St.
N Illinois,Northern Illinois
N Kentucky,Northern Kentucky
N'Western St.,Northwestern St.
NC A&T,North Carolina A&T
NC Central,North Carolina Central
NC St.,N.C. State
Nicholls,Nicholls St.
Ole Miss,Mississippi
Omaha,Nebraska Omaha
Pitt,Pittsburgh
Prairie View,Prairie View A&M
Purdue FW,Purdue Fort Wayne
S Dakota St.,South Dakota St.
S Illinois,Southern Illinois
Sam Houston,Sam Houston St.
San José St.,San Jose St.
SC St.,South Carolina St.
SC Upstate,USC Upstate
SE Louisiana,Southeastern Louisiana
SE Missouri St.,Southeast Missouri St.
Seattle U,Seattle
SF Austin,Stephen F. Austin
SIUE,SIU Edwardsville
So Illinois,Southern Illinois
St Bonaventure,St. Bonaventure
St Francis BK,St. Francis NY
St Francis PA,St. Francis PA
St John's,St. John's
St Thomas (MN),St. Thomas
St. Fran. (BKN),St. Francis NY
St. Fran. (PA),St. Francis PA
Tarleton,Tarleton St.
Texas A&M-CC,Texas A&M Corpus Chris
UConn,Connecticut
UCSB,UC Santa Barbara
UIC,Illinois Chicago
UL Monroe,Louisiana Monroe
UM Kansas City,UMKC
UMass,Massachusetts
UT Martin,Tennessee Martin
UT Rio Grande,UT Rio Grande Valley
Utah Tech,Dixie St.
W Carolina,Western Carolina
W Illinois,Western Illinois
W Michigan,Western Michigan
Western KY,Western Kentucky
